ax_axis,ay_axis,az_axis,magn_z,x_axis,y_axis,z_axis,activity_type
0,0,0,0,-3,-2,-1,pause
0,0,0,0,-3,-2,-1,pause
0,0,0,0,-1,-1,-1,pause
0,0,0,0,-1,-1,-1,pause
0,0,0,0,1,1,-1,pause
0,0,0,0,2,-1,-1,pause
0,0,0,0,2,-1,-1,pause
0,0,0,0,3,-2,-1,pause
0,0,0,0,3,-2,-1,pause
0,0,0,0,2,-2,-1,pause
0,0,0,0,1,-1,-1,pause
0,0,0,0,1,-1,-1,pause
0,0,0,0,0,0,-1,pause
0,0,0,0,0,0,-1,pause
0,0,0,0,-1,-2,1,pause
0,0,0,0,3,-1,-1,pause
0,0,0,0,3,-1,-1,pause
0,0,0,0,4,-3,-2,pause
0,0,0,0,4,-3,-2,pause
0,0,0,0,2,-3,-2,pause
0,0,0,0,0,-2,-3,pause
0,0,0,0,0,-2,-2,pause
0,0,0,0,0,-2,-2,pause
0,0,0,0,0,0,-2,pause
0,0,0,0,-2,0,0,pause
0,0,0,0,-2,0,0,pause
0,0,0,0,-2,-1,-1,pause
0,0,0,0,-2,-1,-1,pause
0,0,0,0,-1,0,0,pause
0,0,0,0,-2,-1,0,pause
0,0,0,0,-2,-1,0,pause
0,0,0,0,-2,-2,-2,pause
0,0,0,0,3,-1,-2,pause
0,0,0,0,3,-1,-2,pause
0,0,0,0,3,-1,-2,pause
0,0,0,0,6,-1,1,pause
0,0,0,0,6,-1,1,pause
0,0,0,0,6,2,1,pause
0,0,0,0,2,4,1,pause
0,0,0,0,2,4,1,pause
0,0,0,0,-2,4,2,pause
0,0,0,0,-2,4,2,pause
0,0,0,0,-2,5,1,pause
0,0,0,0,-3,5,1,pause
0,0,0,0,-3,5,1,pause
0,0,0,0,5,6,0,pause
0,0,0,0,0,4,0,pause
0,0,0,0,-2,3,1,pause
0,0,0,0,-2,3,1,pause
0,0,0,0,0,1,1,pause
0,0,0,0,0,1,1,pause
0,0,0,0,1,-1,0,pause
0,0,0,0,2,0,-1,pause
0,0,0,0,2,0,-1,pause
0,0,0,0,-1,-4,0,pause
0,0,0,0,-1,-3,-1,pause
0,0,0,0,2,-2,-3,pause
