x_axis,y_axis,z_axis,ax_axis,ay_axis,az_axis,activity_type
0,0,0,0,0,0,situps
-212,-48,174,-6,-2,1,situps
-4,1,1,-5,-1,1,situps
-3,1,1,-4,-1,1,situps
-1,1,1,-3,-1,1,situps
-4,1,1,-2,-1,0,situps
-3,2,0,-2,0,0,situps
-5,2,-1,-1,0,0,situps
-6,1,0,-1,0,0,situps
-5,2,1,-1,0,0,situps
-4,3,1,-1,0,0,situps
-7,3,1,-1,0,0,situps
-3,4,1,-1,0,0,situps
-1,4,1,0,0,0,situps
-6,5,2,0,0,0,situps
-5,5,3,0,0,0,situps
-8,8,5,0,0,0,situps
-9,10,2,0,0,1,situps
12,15,-4,0,-2,0,situps
83,9,-25,0,-1,3,situps
28,-9,-33,1,-1,2,situps
67,-20,-39,1,-2,2,situps
92,-52,-47,1,-1,3,situps
37,-79,-59,2,0,2,situps
60,-103,-72,2,-1,0,situps
150,-106,-75,2,0,0,situps
111,-107,-75,2,1,0,situps
117,-112,-56,1,1,0,situps
121,-113,-35,0,0,-1,situps
143,-110,-20,0,1,2,situps
69,-126,2,-1,2,0,situps
91,-120,16,-1,0,-1,situps
71,-106,41,0,2,0,situps
28,-87,36,1,2,0,situps
35,-63,29,1,1,-1,situps
42,-36,15,2,2,2,situps
-24,-14,6,2,3,4,situps
81,1,9,2,1,6,situps
-4,-5,-3,1,2,6,situps
-34,-3,-17,2,3,6,situps
-3,1,-7,3,-1,1,situps
42,10,-7,0,3,5,situps
-38,9,-14,2,0,0,situps
8,17,-4,0,1,0,situps
-29,21,-7,1,0,-2,situps
34,42,-11,-1,0,0,situps
-50,38,-13,-1,-1,-4,situps
-27,73,-14,0,0,-2,situps
-58,71,2,-3,-1,-3,situps
-72,107,-12,1,-2,0,situps
-71,80,-4,-3,0,-1,situps
-141,100,11,0,-2,-5,situps
-57,109,10,0,-2,0,situps
-130,105,20,-2,-2,-3,situps
-89,114,30,0,0,-1,situps
-163,113,39,-1,-2,-3,situps
-66,119,45,-1,-2,0,situps
-80,92,56,-1,-1,-1,situps
-81,103,57,0,-1,-1,situps
-89,77,65,-1,-1,0,situps
-74,64,65,-2,-2,0,situps
-87,48,60,-2,-1,0,situps
-71,34,47,-2,-2,0,situps
-78,14,19,-2,-1,1,situps
-77,-5,-5,-1,-3,-1,situps
70,-10,-29,-1,-1,0,situps
77,-29,-37,0,0,0,situps
70,-48,-50,0,0,0,situps
46,-68,-56,1,0,0,situps
84,-86,-71,1,0,1,situps
98,-104,-77,1,0,1,situps
97,-120,-79,0,0,0,situps
88,-132,-68,0,0,0,situps
92,-135,-60,0,1,0,situps
96,-132,-45,0,1,0,situps
80,-131,-30,0,1,0,situps
112,-120,-17,0,1,-1,situps
90,-111,6,1,1,0,situps
50,-100,7,2,1,0,situps
71,-69,10,2,2,0,situps
30,-52,13,2,2,3,situps
39,-39,16,3,2,1,situps
56,-24,8,2,2,4,situps
1,-31,1,2,3,2,situps
30,-5,5,1,1,3,situps
-8,-6,-1,2,1,3,situps
-29,0,-12,1,1,2,situps
-3,19,-15,2,0,0,situps
36,19,-15,0,2,2,situps
-27,27,-22,1,0,1,situps
-9,27,-17,1,2,0,situps
-25,43,-8,0,0,-1,situps
-15,48,-6,-1,0,-1,situps
-57,58,1,-1,-1,-2,situps
-37,66,2,-1,0,-2,situps
-104,83,7,-2,-2,-4,situps
-37,114,1,-1,-2,0,situps
-93,85,7,-2,-1,-3,situps
-70,120,12,0,-2,-1,situps
-63,93,17,-2,-1,-1,situps
-116,98,27,0,-2,-3,situps
-105,103,24,-1,-1,-1,situps
-106,97,36,-1,-2,-2,situps
-80,84,32,0,0,-1,situps
-102,94,36,-1,-1,-1,situps
-70,74,49,-1,-1,1,situps
-111,56,49,-1,-1,-1,situps
-73,58,46,-2,-2,0,situps
-84,39,50,-2,-2,0,situps
-56,32,33,-1,-1,-1,situps
-27,22,15,-1,-2,1,situps
13,2,-7,-1,-2,-1,situps
67,-10,-20,0,-1,1,situps
123,-31,-36,0,0,1,situps
89,-55,-36,0,1,1,situps
65,-82,-42,0,0,1,situps
89,-106,-48,1,0,1,situps
83,-121,-54,0,1,-1,situps
95,-126,-53,0,1,0,situps
72,-137,-44,0,1,-2,situps
79,-121,-40,1,1,-1,situps
78,-117,-32,1,2,-1,situps
84,-104,-15,1,1,-2,situps
93,-93,-7,2,2,0,situps
36,-88,8,1,1,0,situps
78,-70,12,2,2,1,situps
49,-64,17,2,2,2,situps
43,-50,12,2,2,1,situps
48,-33,14,2,1,1,situps
2,-18,13,2,2,3,situps
5,-6,8,1,0,3,situps
7,-3,0,1,2,4,situps
25,0,-4,1,1,4,situps
-18,3,-2,1,1,2,situps
29,4,-3,0,2,3,situps
-42,9,-10,1,0,1,situps
17,15,0,0,1,1,situps
-12,16,-9,1,0,0,situps
-20,23,-1,0,0,-1,situps
-28,41,-4,0,0,-1,situps
-16,44,-3,-1,0,-1,situps
-71,63,-3,-1,-1,-3,situps
-66,79,0,-2,-1,-2,situps
-109,96,4,-2,-2,-3,situps
-53,114,1,-1,-2,0,situps
-55,104,8,-2,-1,-3,situps
-61,125,16,-1,-1,-1,situps
-44,105,14,-1,-1,-1,situps
-101,113,18,-1,-1,-3,situps
-60,104,19,0,-1,0,situps
-98,99,19,0,-1,-2,situps
-50,82,23,0,-1,0,situps
-91,77,18,-1,-1,-2,situps
-63,79,10,-2,-1,1,situps
-69,51,22,-2,-2,-1,situps
-69,45,20,-1,-1,0,situps
-81,26,13,-1,-1,0,situps
-82,17,9,0,-1,-1,situps
-95,0,6,-1,0,1,situps
-119,-15,5,-1,-1,-1,situps
42,-4,-2,0,-1,-2,situps
85,-16,-10,0,1,-1,situps
46,-21,-15,0,1,-1,situps
22,-22,-19,0,0,0,situps
23,-29,-26,0,-1,0,situps
61,-40,-32,1,-1,1,situps
65,-52,-39,1,-1,2,situps
73,-73,-44,1,-1,2,situps
88,-91,-50,1,0,2,situps
91,-104,-50,1,0,0,situps
113,-115,-47,0,0,0,situps
90,-125,-42,1,1,-1,situps
77,-120,-36,1,1,-1,situps
63,-109,-24,1,2,-1,situps
63,-106,-19,1,2,-1,situps
64,-94,-6,1,2,-1,situps
66,-78,4,1,2,0,situps
