ax_axis,ay_axis,az_axis,magn_z,time,x_axis,y_axis,z_axis,user,activity_type,number_of_repeats
0,0,0,0,1533700000000.0,-3,-2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-3,-2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,1,1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,1,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,1,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,0,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,0,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,-2,1,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,4,-3,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,4,-3,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-3,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,0,-2,-3,andreysv,pause,0
0,0,0,0,1533700000000.0,0,-2,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,0,-2,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,0,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,0,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,0,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,0,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-1,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-1,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-2,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-1,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-1,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-1,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,6,-1,1,andreysv,pause,0
0,0,0,0,1533700000000.0,6,-1,1,andreysv,pause,0
0,0,0,0,1533700000000.0,6,2,1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,4,1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,4,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,4,2,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,4,2,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,5,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-3,5,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-3,5,1,andreysv,pause,0
0,0,0,0,1533700000000.0,5,6,0,andreysv,pause,0
0,0,0,0,1533700000000.0,0,4,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,3,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,3,1,andreysv,pause,0
0,0,0,0,1533700000000.0,0,1,1,andreysv,pause,0
0,0,0,0,1533700000000.0,0,1,1,andreysv,pause,0
0,0,0,0,1533700000000.0,1,-1,0,andreysv,pause,0
0,0,0,0,1533700000000.0,2,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,-4,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,-3,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-3,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-3,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,2,-2,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,3,3,0,andreysv,pause,0
0,0,0,0,1533700000000.0,4,1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,1,1,0,andreysv,pause,0
0,0,0,0,1533700000000.0,1,1,0,andreysv,pause,0
0,0,0,0,1533700000000.0,0,2,0,andreysv,pause,0
0,0,0,0,1533700000000.0,0,2,0,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,1,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-1,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,-4,1,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-8,2,5,andreysv,pause,0
0,0,0,0,1533700000000.0,-8,2,5,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,4,6,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,4,6,andreysv,pause,0
0,0,0,0,1533700000000.0,-4,5,5,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,3,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,3,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,4,-4,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,4,-2,5,andreysv,pause,0
0,0,0,0,1533700000000.0,4,-2,5,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-6,7,andreysv,pause,0
0,0,0,0,1533700000000.0,3,-6,7,andreysv,pause,0
0,0,0,0,1533700000000.0,1,-6,5,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-3,9,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,-3,9,andreysv,pause,0
0,0,0,0,1533700000000.0,0,-1,6,andreysv,pause,0
0,0,0,0,1533700000000.0,0,-1,6,andreysv,pause,0
0,0,0,0,1533700000000.0,3,1,3,andreysv,pause,0
0,0,0,0,1533700000000.0,15,2,1,andreysv,pause,0
0,0,0,0,1533700000000.0,15,2,1,andreysv,pause,0
0,0,0,0,1533700000000.0,9,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,9,0,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,10,-3,0,andreysv,pause,0
0,0,0,0,1533700000000.0,11,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,6,4,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,6,4,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,5,2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,5,2,-1,andreysv,pause,0
0,0,0,0,1533700000000.0,8,12,3,andreysv,pause,0
0,0,0,0,1533700000000.0,8,12,3,andreysv,pause,0
0,0,0,0,1533700000000.0,6,4,1,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-2,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,2,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-5,2,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-4,1,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,-4,1,-4,andreysv,pause,0
0,0,0,0,1533700000000.0,-7,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-7,0,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-12,-3,-3,andreysv,pause,0
0,0,0,0,1533700000000.0,-11,-4,-2,andreysv,pause,0
0,0,0,0,1533700000000.0,-11,-4,-2,andreysv,pause,0
